"","age","handedness","gender","list","radians","center","pos_1","pos_2","type","degrees","map_file","PE","object","isFiller","outdoors_response","stimulus","ind_out_resp.keys","ind_out_resp.rt","participant","trial_n_block","block","trial_n","x","y","fixations","center_low","fixation_error","fixation_prediction"
"546",22,"r","m","lists/127/stimuli_position_map_1.csv",6.11551765316372,341.899159663866,71.8991596638655,251.899159663866,"low",350.571075659067,"maps/google_map_1.png","8.67191599520109","objects/1/1_53.jpg",0,"indoors","NailPolish.jpg","a",6.09827329999999,127,50,1,50,1288.5,577.799987792969,353.435932584725,341.899159663866,2.86485692565776,11.5367729208588
"556",22,"r","m","lists/127/stimuli_position_map_1.csv",3.50936334629675,341.899159663866,71.8991596638655,251.899159663866,"high",201.173695010642,"maps/google_map_1.png","140.725464653224","objects/1/1_78.jpg",0,"outdoors","Boat_Row.jpg","a",0.561432999999994,127,51,1,51,681.5,621.599975585938,196.330485144716,341.899159663866,4.84320986592593,145.56867451915
"566",22,"r","m","lists/127/stimuli_position_map_1.csv",0.964721755368814,341.899159663866,161.899159663866,200.109243697479,"singletons",55.3025210084034,"maps/google_map_1.png","None","objects/1/1_50.jpg",0,"outdoors","TowerEiffel.jpg","a",1.47789919999994,127,52,1,52,1123,305.299987792969,55.2198826270686,341.899159663866,0.0826383813347817,73.3207229632026
"576",22,"r","m","lists/127/stimuli_position_map_1.csv",1.24368506591899,341.899159663866,71.8991596638655,251.899159663866,"medium",71.2940483647829,"maps/google_map_1.png","89.3948887009174","objects/1/1_17.jpg",0,"outdoors","TigerWhite.jpg","a",0.405261900000056,127,53,1,53,1063.19995117188,280.5,68.3128940643341,341.899159663866,2.98115430044879,86.4137344004681
"586",22,"r","m","lists/127/stimuli_position_map_1.csv",5.8556944574479,341.899159663866,71.8991596638655,251.899159663866,"low",335.676752337778,"maps/google_map_1.png","6.22240732608766","objects/2/2_17.jpg",1,"outdoors","ManholeCover.jpg","a",1.10406609999998,127,54,1,54,1272.5,673.099975585938,336.929878933321,341.899159663866,1.25312659554271,4.96928073054528
"596",22,"r","m","lists/127/stimuli_position_map_1.csv",2.96427592159148,341.899159663866,71.8991596638655,251.899159663866,"high",169.926645186773,"maps/google_map_1.png","171.972514477093","objects/1/1_63.jpg",0,"indoors","Ashtray_Empty.jpg","a",2.93477620000002,127,55,1,55,632.5,463.200012207031,166.80239517406,341.899159663866,3.12425001271313,175.096764489806
"606",22,"r","m","lists/127/stimuli_position_map_1.csv",0.0174444444444444,341.899159663866,341.899159663866,55.3025210084034,"singletons",1,"maps/google_map_1.png","None","objects/1/1_133.jpg",0,"indoors","Clip_Paper.jpg","l",0.419575400000014,127,56,1,56,1278,540.099975585938,359.98198685868,341.899159663866,1.01801314132035,18.0828271948137
"6110",22,"r","m","lists/127/stimuli_position_map_1.csv",5.58925194748831,341.899159663866,71.8991596638655,251.899159663866,"low",320.402977881495,"maps/google_map_1.png","21.4961817823702","objects/1/1_105.jpg",0,"outdoors","Hippopotamus.jpg","a",0.414300599999962,127,57,1,57,1201.5,722.299987792969,322.952108761517,341.899159663866,2.54913088002166,18.9470509023493
"626",22,"r","m","lists/127/stimuli_position_map_1.csv",1.86058419846363,341.899159663866,71.8991596638655,251.899159663866,"medium",106.657692905558,"maps/google_map_1.png","124.758533241693","objects/1/1_107.jpg",0,"indoors","Cup_sippy.jpg","l",0.408310199999988,127,58,1,58,866.700012207031,229.899993896484,106.744998479152,341.899159663866,0.0873055735938522,124.845838815286
"636",22,"r","m","lists/127/stimuli_position_map_1.csv",1.0116367846857,341.899159663866,71.8991596638655,251.899159663866,"medium",57.9919175934477,"maps/google_map_1.png","76.0927579295822","objects/1/1_28.jpg",0,"outdoors","Boat_Sail.jpg","a",0.402288600000048,127,59,1,59,1112.69995117188,293.100006103516,58.2645006057269,341.899159663866,0.272583012279242,76.3653409418609
"646",22,"r","m","lists/127/stimuli_position_map_1.csv",6.1222391096914,341.899159663866,71.8991596638655,251.899159663866,"low",350.95638208422,"maps/google_map_1.png","9.05722242035463","objects/1/1_126.jpg",1,"outdoors","Bench_Park.jpg","a",1.26092250000002,127,60,1,60,1277,598.299987792969,349.579088782745,341.899159663866,1.37729330147488,7.67992911887916
"656",22,"r","m","lists/127/stimuli_position_map_1.csv",5.12221661998133,341.899159663866,341.899159663866,305.697478991597,"singletons",293.63025210084,"maps/google_map_1.png","None","objects/1/1_75.jpg",0,"outdoors","Horseshoe.jpg","a",0.684624799999966,127,61,1,61,1054.40002441406,783.700012207031,291.174454236248,341.899159663866,2.4557978645924,50.7247054276184
