radians,center,pos_1,pos_2,type,degrees,map_file,PE,object,isFiller,outdoors_response,stimulus,old_new,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,location_loop.thisRepN,location_loop.thisTrialN,location_loop.thisN,location_loop.thisIndex,instructions_text.started,key_resp.started,key_resp.keys,key_resp.rt,conf_resp_2.started,conf_prompt_2.started,conf.started,conf_7.started,conf_8.started,conf_9.started,conf_10.started,conf_11.started,conf_resp_2.keys,conf_resp_2.rt,Instr_4_text.started,Instr_4_resp.started,Instr_4_resp.keys,Instr_4_resp.rt,final_instr_resp.started,instruction_final_text.started,final_instr_resp.keys,final_instr_resp.rt,text_4.started,image_feedb_2.started,conf_resp.started,conf_prompt.started,conf_1.started,conf_2.started,conf_3.started,conf_4.started,conf_5.started,conf_6.started,conf_resp.keys,conf_resp.rt,text_4.stopped,image_2.started,predict_prompt.started,line.started,response,key_resp_2.keys,key_resp_2.rt,instructions_text_2.started,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,participant,date,expName,psychopyVersion,frameRate,
3.36164901430429,196.588235294118,286.588235294118,106.588235294118,low,192.705994450564,maps/google_map_1.png,3.88224084355317,objects/1/1_8.jpg,0.0,outdoors,Snake_Cobra.jpg,old,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194,2022-12-23_11h05.26.540,PEmem_Phase-02_retrieval,2022.2.4,None,
0.26187304611536,196.588235294118,286.588235294118,106.588235294118,high,15.0118306690334,maps/google_map_1.png,178.423595374916,objects/1/1_108.jpg,0.0,indoors,Lipstick.jpg,old,0,15,15,15,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,91.45496249999997,61.11469070000021,61.11469070000021,61.11469070000021,61.11469070000021,61.11469070000021,61.11469070000021,61.11469070000021,61.11469070000021,61.11469070000021,6,30.327123600007326,91.81021949999558,91.81021949999558,91.81021949999558,91.81021949999558,161.5,['return'],[2.3320280000043567],,,,,194,2022-12-23_11h05.26.540,PEmem_Phase-02_retrieval,2022.2.4,None,
0.26187304611536,196.588235294118,286.588235294118,106.588235294118,high,15.0118306690334,maps/google_map_1.png,178.423595374916,objects/1/1_108.jpg,0.0,indoors,Lipstick.jpg,old,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194,2022-12-23_11h05.26.540,PEmem_Phase-02_retrieval,2022.2.4,None,
1.91694278626923,106.588235294118,196.588235294118,16.5882352941177,low,109.888439977217,maps/google_map_1.png,3.30020468309922,objects/1/1_33.jpg,0.0,indoors,Mop.jpg,old,0,16,16,16,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,95.63816549999319,94.4067717999933,94.4067717999933,94.4067717999933,94.4067717999933,94.4067717999933,94.4067717999933,94.4067717999933,94.4067717999933,94.4067717999933,5,1.2225824000051944,95.98924379999517,95.98924379999517,95.98924379999517,95.98924379999517,122.5,['return'],[1.0080396000048495],,,,,194,2022-12-23_11h05.26.540,PEmem_Phase-02_retrieval,2022.2.4,None,
1.91694278626923,106.588235294118,196.588235294118,16.5882352941177,low,109.888439977217,maps/google_map_1.png,3.30020468309922,objects/1/1_33.jpg,0.0,indoors,Mop.jpg,old,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194,2022-12-23_11h05.26.540,PEmem_Phase-02_retrieval,2022.2.4,None,
3.22184618671929,196.588235294118,286.588235294118,106.588235294118,low,184.691819620851,maps/google_map_1.png,11.8964156732668,objects/1/1_133.jpg,0.0,indoors,Clip_Paper.jpg,old,0,17,17,17,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,98.06315539999923,97.2587482999952,97.2587482999952,97.2587482999952,97.2587482999952,97.2587482999952,97.2587482999952,97.2587482999952,97.2587482999952,97.2587482999952,5,0.7957666000074823,98.41446419999556,98.41446419999556,98.41446419999556,98.41446419999556,72.0,['return'],[0.7118392000047606],,,,,194,2022-12-23_11h05.26.540,PEmem_Phase-02_retrieval,2022.2.4,None,
3.22184618671929,196.588235294118,286.588235294118,106.588235294118,low,184.691819620851,maps/google_map_1.png,11.8964156732668,objects/1/1_133.jpg,0.0,indoors,Clip_Paper.jpg,old,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194,2022-12-23_11h05.26.540,PEmem_Phase-02_retrieval,2022.2.4,None,
4.99604997347793,106.588235294118,196.588235294118,16.5882352941177,high,286.397769180263,maps/google_map_1.png,179.809533886146,objects/1/1_110.jpg,0.0,indoors,Belt.jpg,old,0,18,18,18,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,100.18822219999856,99.39899179999338,99.39899179999338,99.39899179999338,99.39899179999338,99.39899179999338,99.39899179999338,99.39899179999338,99.39899179999338,99.39899179999338,5,0.7784119999996619,100.53735659999802,100.53735659999802,100.53735659999802,100.53735659999802,303.0,['return'],[0.9863698000044678],,,,,194,2022-12-23_11h05.26.540,PEmem_Phase-02_retrieval,2022.2.4,None,
4.99604997347793,106.588235294118,196.588235294118,16.5882352941177,high,286.397769180263,maps/google_map_1.png,179.809533886146,objects/1/1_110.jpg,0.0,indoors,Belt.jpg,old,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194,2022-12-23_11h05.26.540,PEmem_Phase-02_retrieval,2022.2.4,None,
1.26658914834245,106.588235294118,196.588235294118,16.5882352941177,low,72.607021242561,maps/google_map_1.png,33.9812140515567,objects/1/1_51.jpg,0.0,indoors,DusterFeather.jpg,old,0,19,19,19,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,102.45478749999893,101.78918580000027,101.78918580000027,101.78918580000027,101.78918580000027,101.78918580000027,101.78918580000027,101.78918580000027,101.78918580000027,101.78918580000027,5,0.655942800003686,102.80517569999938,102.80517569999938,102.80517569999938,102.80517569999938,44.0,['return'],[0.9187165000039386],,,,,194,2022-12-23_11h05.26.540,PEmem_Phase-02_retrieval,2022.2.4,None,
