"list","radians","center","pos_1","pos_2","type","trial_type","degrees","human_manmade","cat_obj","old_new","key1","key2","response","map_file","PE","sequence","object","isFiller","key_resp.keys","key_resp2.keys","stimulus","truck","natural_manmade_resp.corr","natural_manmade_resp.keys","participant","handedness","conf_resp.keys","phase","key_resp_5.keys","age","gender"
"lists/27/stimuli_position_map_1_seq_2.csv","1.20693120461765","52.2857142857143","142.285714285714","322.285714285714","low","target","69.1871391182094","natural","0.0","old",NA,NA,103,"google_map_1.png","16.9014248324951","1.0","objects/1/1_49.jpg","0.0","","","Plum.jpg","truck_1.png",NA,"","27","r",5,"retrieval","",22,"f"
"lists/27/stimuli_position_map_1_seq_2.csv","1.20693120461765","52.2857142857143","142.285714285714","322.285714285714","low","target","69.1871391182094","natural","0.0","old",NA,NA,NA,"google_map_1.png","16.9014248324951","1.0","objects/1/1_49.jpg","0.0","","","Plum.jpg","truck_1.png",NA,"","27","r",NA,"retrieval","",22,"f"
"lists/27/stimuli_position_map_1_seq_2.csv","5.84712788197826","142.285714285714","232.285714285714","52.2857142857143","high","target","335.185674763085","natural","0.0","old",NA,NA,65,"google_map_1.png","167.100039522629","2.0","objects/1/1_95.jpg","0.0","","","Asparagus.jpg","truck_1.png",NA,"","27","r",6,"retrieval","",22,"f"
"lists/27/stimuli_position_map_1_seq_2.csv","5.84712788197826","142.285714285714","232.285714285714","52.2857142857143","high","target","335.185674763085","natural","0.0","old",NA,NA,NA,"google_map_1.png","167.100039522629","2.0","objects/1/1_95.jpg","0.0","","","Asparagus.jpg","truck_1.png",NA,"","27","r",NA,"retrieval","",22,"f"
"lists/27/stimuli_position_map_1_seq_2.csv","None","None","None","None","None","None","None","natural","None","new",NA,NA,NA,"None","None","None","objects/2/2_27.jpg","None","","","Sand.jpg","None",NA,"","27","r",2,"retrieval","",22,"f"
"lists/27/stimuli_position_map_1_seq_2.csv","2.06987861811391","52.2857142857143","232.285714285714","112.621848739496","singletons","singletons","118.655462184874","natural","0.0","old",NA,NA,105,"google_map_1.png","None","1.0","objects/1/1_36.jpg","0.0","","","Clam.jpg","truck_1.png",NA,"","27","r",5,"retrieval","",22,"f"
"lists/27/stimuli_position_map_1_seq_2.csv","2.06987861811391","52.2857142857143","232.285714285714","112.621848739496","singletons","singletons","118.655462184874","natural","0.0","old",NA,NA,NA,"google_map_1.png","None","1.0","objects/1/1_36.jpg","0.0","","","Clam.jpg","truck_1.png",NA,"","27","r",NA,"retrieval","",22,"f"
"lists/27/stimuli_position_map_1_seq_2.csv","2.16788936735499","142.285714285714","232.285714285714","52.2857142857143","low","target","124.273912778312","human-made","0.0","old",NA,NA,151,"google_map_1.png","18.0118015074027","2.0","objects/1/1_115.jpg","0.0","","","Glass_Cup.jpg","truck_1.png",NA,"","27","r",5,"retrieval","",22,"f"
"lists/27/stimuli_position_map_1_seq_2.csv","2.16788936735499","142.285714285714","232.285714285714","52.2857142857143","low","target","124.273912778312","human-made","0.0","old",NA,NA,NA,"google_map_1.png","18.0118015074027","2.0","objects/1/1_115.jpg","0.0","","","Glass_Cup.jpg","truck_1.png",NA,"","27","r",NA,"retrieval","",22,"f"
"lists/27/stimuli_position_map_1_seq_2.csv","6.25347066678255","142.285714285714","232.285714285714","52.2857142857143","high","target","358.479210197726","human-made","0.0","old",NA,NA,283,"google_map_1.png","143.806504087988","2.0","objects/1/1_82.jpg","0.0","","","Chair_Dining.jpg","truck_1.png",NA,"","27","r",3,"retrieval","",22,"f"
"lists/27/stimuli_position_map_1_seq_2.csv","6.25347066678255","142.285714285714","232.285714285714","52.2857142857143","high","target","358.479210197726","human-made","0.0","old",NA,NA,NA,"google_map_1.png","143.806504087988","2.0","objects/1/1_82.jpg","0.0","","","Chair_Dining.jpg","truck_1.png",NA,"","27","r",NA,"retrieval","",22,"f"
"lists/27/stimuli_position_map_1_seq_2.csv","0.835891439989404","52.2857142857143","142.285714285714","322.285714285714","low","target","47.9173436936601","natural","0.0","old",NA,NA,237,"google_map_1.png","4.36837059205418","1.0","objects/1/1_86.jpg","0.0","","","Potato.jpg","truck_1.png",NA,"","27","r",6,"retrieval","",22,"f"
"lists/27/stimuli_position_map_1_seq_2.csv","0.835891439989404","52.2857142857143","142.285714285714","322.285714285714","low","target","47.9173436936601","natural","0.0","old",NA,NA,NA,"google_map_1.png","4.36837059205418","1.0","objects/1/1_86.jpg","0.0","","","Potato.jpg","truck_1.png",NA,"","27","r",NA,"retrieval","",22,"f"
"lists/27/stimuli_position_map_1_seq_2.csv","None","None","None","None","None","None","None","human-made","None","new",NA,NA,NA,"None","None","None","objects/2/2_10.jpg","None","","","Slippers.jpg","None",NA,"","27","r",2,"retrieval","",22,"f"
"lists/27/stimuli_position_map_1_seq_2.csv","2.06657660012049","52.2857142857143","142.285714285714","322.285714285714","medium","target","118.4661745292","human-made","0.0","old",NA,NA,257,"google_map_1.png","66.1804602434859","1.0","objects/1/1_68.jpg","0.0","","","Ladle.jpg","truck_1.png",NA,"","27","r",5,"retrieval","",22,"f"
"lists/27/stimuli_position_map_1_seq_2.csv","2.06657660012049","52.2857142857143","142.285714285714","322.285714285714","medium","target","118.4661745292","human-made","0.0","old",NA,NA,NA,"google_map_1.png","66.1804602434859","1.0","objects/1/1_68.jpg","0.0","","","Ladle.jpg","truck_1.png",NA,"","27","r",NA,"retrieval","",22,"f"
"lists/27/stimuli_position_map_1_seq_2.csv","None","None","None","None","None","None","None","human-made","None","new",NA,NA,NA,"None","None","None","objects/2/2_36.jpg","None","","","Basket_Straw.jpg","None",NA,"","27","r",2,"retrieval","",22,"f"
